date,y,glmnet_pred,xgb_pred,svmpoly_pred,DNN_predict
2020/01/06,7759.1,9666.422551,9714.155273,8147.589797,9962.468
2020/01/07,8155.7,9761.119009,9801.257813,8120.09596,10029.724
2020/01/08,8059.6,10090.83833,10214.55176,8486.495719,10361.763
2020/01/09,7842.4,9859.746524,9987.106445,8263.413091,10201.482
2020/01/10,8187.1,9836.385654,9874.706055,8154.912815,10102.689
2020/01/11,8024.1,10154.15467,10157.10645,8458.316289,10411.71
2020/01/12,8187.6,9915.244486,9892.488281,8282.891054,10186.838
2020/01/13,8111.4,9996.286612,10086.31055,8426.028464,10281.141
2020/01/14,8829.2,10227.7229,10009.45508,8655.151287,10488.132
2020/01/15,8818.3,10031.09483,9980.208008,8586.810163,10345.011
2020/01/16,8726.9,9928.500766,9624.663086,8614.972652,10269.013
2020/01/17,8913.1,9780.752895,9510.179688,8568.39784,10099.003
2020/01/18,8916.3,9592.972828,9010.40918,8468.538743,9953.94
2020/01/19,8706.2,9463.647541,8800.237305,8523.913049,9844.716
2020/01/20,8641.9,9266.164524,8520.912109,8351.045097,9629.497
2020/01/21,8732.6,9267.083259,8474.854492,8388.023716,9627.394
2020/01/22,8678.5,9283.195639,8431.771484,8471.726666,9586.114
2020/01/23,8405.1,9040.116689,8399.836914,8366.594998,9364.969
2020/01/24,8439.9,8694.93871,8170.783203,8052.22584,8977.399
2020/01/25,8341.6,8648.313425,8357.228516,8085.667187,8923.858
2020/01/26,8607.8,8620.518185,8223.018555,8112.519575,8911.026
2020/01/27,8866.6,8594.564019,8416.763672,8396.996058,9044.669
2020/01/28,9377.3,8873.157429,8453.270508,8511.581467,9216.999
2020/01/29,9298.9,8907.907143,8593.18457,8610.942461,9182.38
2020/01/30,9507.3,8864.513433,8539.837891,8620.390191,9246.744
2020/01/31,9349.1,8757.923337,8481.873047,8552.931349,9146.421
2020/02/01,9381.6,8854.684826,8503.892578,8620.84413,9275.831
2020/02/02,9334.9,8895.315571,8498.889648,8629.997945,9317.062
2020/02/03,9296.6,9005.497416,8689.514648,8699.893663,9441.402
2020/02/04,9193.9,9014.410137,8527.582031,8601.500338,9420.368
2020/02/05,9611.8,9075.034337,8559.258789,8508.763499,9450.37
2020/02/06,9772,9363.478554,8736.044922,8794.202609,9806.328
2020/02/07,9818.6,9329.62452,8583.274414,8616.272433,9695.089
2020/02/08,9895.5,9444.649923,8527.001953,8620.587148,9830.417
2020/02/09,10151.5,9559.826165,8802.71875,8624.4918,9909.124
2020/02/10,9854.1,9637.871584,8947.743164,8670.285712,10034.983
2020/02/11,10229.5,9595.702012,9272.320313,8507.653391,10009.528
2020/02/12,10317.7,9933.364022,9523.953125,8817.949378,10353.471
2020/02/13,10235.1,10153.73438,9456.625977,8956.153167,10597.218
2020/02/14,10333,10141.78278,9745.445313,8885.864205,10544.319
2020/02/15,9907.7,10143.66865,9771.146484,8927.594154,10625.714
