date,index_num,y,glmnet_pred
2020/03/28,160,6233.7,6353.838799
2020/03/29,161,5890.4,6409.749205
2020/03/30,162,6391,6425.79395
2020/03/31,163,6412.5,6324.427059
2020/04/01,164,6638.5,6346.527845
2020/04/02,165,6800.5,6360.293574
2020/04/03,166,6735.9,6228.848056
2020/04/04,167,6857.4,6061.34525
2020/04/05,168,6772.7,6048.934035
2020/04/06,169,7332.3,5857.992043
2020/04/07,170,7185.2,5935.237726
2020/04/08,171,7361.2,5877.581215
2020/04/09,172,7289,5847.437207
2020/04/10,173,6863.1,5549.047831
2020/04/11,174,6867.8,5502.119952
2020/04/12,175,6917.6,5493.89808
2020/04/13,176,6841.3,5716.972053
2020/04/14,177,6850.9,6077.82249
2020/04/15,178,6629.1,6324.382265
2020/04/16,179,7085.6,6393.929814
2020/04/17,180,7035.8,6596.254562
2020/04/18,181,7230.8,6801.708339
2020/04/19,182,7122.9,6921.56398
2020/04/20,183,6833.5,7047.041661
2020/04/21,184,6842.5,7370.892004
2020/04/22,185,7112.9,7674.106472
2020/04/23,186,7488.5,7845.923321
2020/04/24,187,7503.8,8042.80183
2020/04/25,188,7540.4,8317.231114
2020/04/26,189,7678.9,8438.055251
2020/04/27,190,7766,8780.305486
2020/04/28,191,7746.9,8947.657517
2020/04/29,192,8770.9,9116.402458
2020/04/30,193,8629,9613.125651
2020/05/01,194,8821.6,9571.244262
2020/05/02,195,8966.3,9729.632218
2020/05/03,196,8885.5,10011.17565
2020/05/04,197,8874.7,10158.59174
2020/05/05,198,9001,10017.50686
2020/05/06,199,9151.4,10163.98003
2020/05/07,200,9979.8,10464.75829
2020/05/08,201,9806.2,10549.77906
2020/05/09,202,9554.6,10647.21314
2020/05/10,203,8738.8,10397.99802
2020/05/11,204,8579.8,10276.13429
2020/05/12,205,8813.8,10230.83024
2020/05/13,206,9298.7,10205.97899
2020/05/14,207,9778.4,10156.61814
2020/05/15,208,9318,10150.92044
2020/05/16,209,9379.5,10018.96312
2020/05/17,210,9677.7,9889.761885
2020/05/18,211,9730.7,10167.51072
2020/05/19,212,9773.3,10047.06313
2020/05/20,213,9512.3,10030.56607
2020/05/21,214,9059,9999.71004
2020/05/22,215,9169.7,9646.326556
2020/05/23,216,9177,9391.917002
2020/05/24,217,8728.2,9395.84828
2020/05/25,218,8898.2,9279.909863
2020/05/26,219,8842.5,9223.697575
2020/05/27,220,9199.1,9224.636886
2020/05/28,221,9572.2,9220.608943
2020/05/29,222,9424.8,9244.764874
2020/05/30,223,9692.5,9286.023294
2020/05/31,224,9454.8,9328.53912
2020/06/01,225,10189.3,9382.297368
2020/06/02,226,9527.6,9542.094827
2020/06/03,227,9667.2,9415.589889
2020/06/04,228,9794.4,9661.172812
2020/06/05,229,9631.2,9609.055902
2020/06/06,230,9669.6,9694.724788
